,,3b. N2O from Manure Management in Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1991,Other,,,,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1991,Sheep on Feed,29.9,," 114,773 ",, NA ,," 37,517 ",, NA ,+, 750 , = ," 1,179 ", = , 85 , = , 0.00009 , = , 0.00031 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1991,Sheep Not on Feed,270.1,," 3,311,926 ",, NA ,," 2,229,333 ",, NA ,+," 44,587 ", = ," 70,065 ", = ," 5,064 ", = , 0.00506 , = , 0.01857 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL, ,," 227,176,040 ",," 53,740,421 ",," 119,570,604 ",," 53,740 ",," 2,314,649 ",," 3,716,097 ",," 268,572 ",, 0.26857 ,, 0.98477 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,N2O from Manure Management,,,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Number of Animals         ('000 head),,Total K-Nitrogen Excreted (kg),,Unvolatilized N from Manure in Anaerobic Lagoons and Liquid Systems (kg),,"Unvolatilized N from Manure in Solid Storage, Drylot & Other Systems (kg)",,Emissions from Anaerobic Lagoons and Liquid Systems      (kg N2O-N),,"Emissions from Solid Storage, Drylot, & Other Systems           (kg N2O-N)",,Total N2O Emissions         (kg N2O),,Emissions (MTCE),,Emissions (MMTCE),,Emissions  (MMTCO2E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1992,Dairy Cows,660.0,," 98,537,117 ",," 14,048,816 ",," 43,581,905 ",," 14,049 ",+," 871,638 ", = ," 1,391,794 ", = ," 100,589 ", = , 0.10059 , = , 0.36883 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1992,Dairy Replacement Heifers,305.0,," 24,065,076 ",," 3,431,050 ",," 14,004,401 ",," 3,431 ",+," 280,088 ", = ," 440,138 ", = ," 31,810 ", = , 0.03181 , = , 0.11664 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
