scc6_new,scc_level_one,scc_level_two,scc_level_three,fuel_type_detect,scc6_desc,alt_mode,alt_mode_truck,scc6_desc_manual,scc6_desc_broad
227000,Mobile Sources,Off-highway Vehicle Diesel,Logging Equipment,Diesel,NA,Logging equipment,Logging equipment,Diesel; Logging equipment,Diesel; Logging equipment
227000,Mobile Sources,Off-highway Vehicle Diesel,Recreational Equipment,Diesel,NA,Recreational equipment,Recreational equipment,Diesel; Recreational equipment,Diesel; Recreational equipment
227001,Mobile Sources,Off-highway Vehicle Diesel,Industrial Equipment,Diesel,NA,Industrial equipment,Industrial equipment,Diesel; Industrial equipment,Diesel; Industrial equipment
228200,Mobile Sources,Pleasure Craft,Gasoline 2-Stroke,Gasoline,NA,Pleasure craft,Pleasure craft,Gasoline; Pleasure craft,Gasoline; Pleasure craft
228200,Mobile Sources,Pleasure Craft,Gasoline,Gasoline,NA,Pleasure craft,Pleasure craft,Gasoline; Pleasure craft,Gasoline; Pleasure craft
228201,Mobile Sources,Pleasure Craft,Gasoline 4-Stroke,Gasoline,NA,Pleasure craft,Pleasure craft,Gasoline; Pleasure craft,Gasoline; Pleasure craft
228202,Mobile Sources,Pleasure Craft,Diesel,Diesel,NA,Railroad equipment,Railroad equipment,Diesel; Pleasure craft,Diesel; Pleasure craft
228500,Mobile Sources,Railroad Equipment,Diesel,Diesel,NA,Railroad equipment,Railroad equipment,Diesel; Railroad equipment,Diesel; Railroad equipment
228500,Mobile Sources,Railroad Equipment,"Gasoline, 4-Stroke",Gasoline,NA,Railroad equipment,Railroad equipment,Gasoline; Railroad equipment,Gasoline; Railroad equipment
228500,Mobile Sources,Railroad Equipment,LPG,Liquefied petroleum gas (LPG),NA,Railroad equipment,Railroad equipment,Liquefied petroleum gas (LPG); Railroad equipment,Liquefied petroleum gas (LPG); Railroad equipment
