utility_id,year,ctu_id,customer_class_id,mwh_per_year,number_of_customers
85,2017,664202,8,34207.886,169
85,2017,664202,5,34344.356,169
85,2017,664202,8,119673.829,113
85,2017,664202,5,120213.709,393
85,2017,664346,11,0.055,NULL
85,2017,664346,1,1201.63,80
85,2017,664346,5,1201.685,80
85,2017,664354,8,NULL,NULL
85,2017,664354,1,1457.018,125
85,2017,664354,5,1457.018,125
85,2017,664386,8,200.594,21
85,2017,664386,9,8.043,NULL
85,2017,664386,1,752.581,58
85,2017,664386,5,961.218,79
85,2017,664388,8,NULL,NULL
85,2017,664388,1,815.718,50
85,2017,664388,5,815.718,50
85,2017,664443,8,NULL,NULL
85,2017,664443,1,534.661,32
85,2017,664443,5,534.661,32
85,2017,664502,8,208.401,20
85,2017,664502,1,1422.647,83
85,2017,664502,5,1631.048,103
85,2017,664569,1,NULL,NULL
85,2017,664569,5,NULL,NULL
85,2017,664705,11,0.894,NULL
85,2017,664705,8,896.224,50
85,2017,664705,1,3063.172,253
85,2017,664705,5,3960.29,303
85,2017,664793,1,241.685,25
85,2017,664793,5,241.685,25
85,2017,664793,8,NULL,NULL
85,2017,664793,1,NULL,NULL
85,2017,664793,5,NULL,NULL
85,2017,664793,8,NULL,NULL
85,2017,664829,5,NULL,NULL
85,2017,664919,1,NULL,NULL
85,2017,664919,5,NULL,NULL
85,2017,664932,8,801.389,60
85,2017,664932,1,8726.136,719
85,2017,664932,5,9527.525,779
85,2017,665104,8,NULL,NULL
85,2017,665104,11,3.695,NULL
85,2017,665104,1,387.476,31
85,2017,665104,5,391.171,31
85,2017,665126,8,NULL,NULL
85,2017,665126,1,NULL,NULL
85,2017,665126,11,0.327,NULL
85,2017,665126,5,0.327,0
85,2017,665377,8,281.636,34
85,2017,665377,1,2946.023,254
85,2017,665377,5,3227.659,288
85,2017,665519,5,NULL,NULL
85,2017,665541,8,NULL,NULL
85,2017,665541,11,0.487,NULL
85,2017,665541,1,787.654,64
85,2017,665541,5,788.141,64
85,2017,665551,8,NULL,NULL
85,2017,665551,1,1767.879,119
85,2017,665551,5,1767.879,119
85,2017,665569,8,NULL,NULL
85,2017,665569,1,423.761,32
85,2017,665569,5,423.761,32
85,2017,665676,8,219.13,24
85,2017,665676,11,0.485,NULL
85,2017,665676,1,2255.643,199
85,2017,665676,5,2475.258,223
85,2018,665712,1,11571.343,882
85,2018,665860,1,496.507,46
85,2018,665887,1,5364.574,348
85,2018,665929,1,1143.326,105
85,2018,665931,1,6100.278,426
85,2018,665966,1,19344.194,1371
85,2018,665981,1,28899.948,3035
85,2018,666069,1,3641.369,204
85,2018,2393428,1,80228.854,11229
85,2018,2393429,1,226898.623,29525
85,2018,2393472,1,39603.31,5709
85,2018,2393526,1,1296.175,141
85,2018,2393579,1,413.339,36
85,2018,2393601,1,5276.524,603
85,2018,2393607,1,54567.114,8302
85,2018,2393628,1,54498.854,7319
85,2018,2393634,1,6688.195,503
85,2018,2393644,1,116385.497,12590
85,2018,2393683,1,67735.537,9612
85,2018,2393762,1,16566.257,1447
85,2018,2393784,1,11870.876,1223
85,2018,2393797,1,52945.473,6130
85,2018,2393799,1,74363.918,7128
85,2018,2393428,2,61634.024,879
85,2018,2393429,2,163815.49,2235
85,2018,2393472,2,41612.803,952
85,2018,2393428,3,79420.27,146
85,2018,2393429,3,240945.26,397
85,2018,2393472,3,59068.899,316
85,2018,665712,5,12194.339,927
85,2018,665860,5,496.507,46
85,2018,665887,5,5829.649,421
85,2018,665929,5,2196.283,143
85,2018,665931,5,7396.397,503
85,2018,665966,5,21438.807,1452
85,2018,665981,5,36029.128,3223
85,2018,666069,5,4961.685,249
85,2018,2393428,5,222010.814,12254
85,2018,2393429,5,634027.735,32157
85,2018,2393472,5,140689.433,6977
85,2018,2393526,5,1306.913,141
85,2018,2393579,5,419.167,36
85,2018,2393601,5,7935.851,695
85,2018,2393607,5,105657.463,9009
85,2018,2393610,5,NULL,NULL
85,2018,2393628,5,200414.26,8076
85,2018,2393634,5,10418.49,597
85,2018,2393644,5,214087.586,13494
85,2018,2393683,5,113978.081,10455
85,2018,2393762,5,17815.997,1546
85,2018,2393784,5,13424.317,1286
85,2018,2393797,5,89038.697,6542
85,2018,2393799,5,268847.889,8154
85,2018,665931,7,1288.47,77
85,2018,2393607,7,50568.142,707
85,2018,2393628,7,145383.659,757
85,2018,2393634,7,3720.617,94
85,2018,2393683,7,45897.112,843
85,2018,2393797,7,35157.099,412
85,2018,2393799,7,193474.041,1026
85,2018,665712,8,616.032,45
85,2018,665860,8,NULL,NULL
85,2018,665887,8,445.074,73
85,2018,665929,8,1051.307,38
85,2018,665966,8,2061.694,81
85,2018,665981,8,7116.665,188
85,2018,666069,8,1318.699,45
85,2018,2393526,8,NULL,NULL
85,2018,2393579,8,NULL,NULL
85,2018,2393601,8,2604.719,92
85,2018,2393644,8,96313.149,904
85,2018,2393762,8,1139.464,99
85,2018,2393784,8,1490.179,63
85,2018,665712,9,6.964,NULL
85,2018,665929,9,0.885,NULL
85,2018,665931,9,7.649,NULL
85,2018,665966,9,32.919,NULL
85,2018,665981,9,1.653,NULL
85,2018,666069,9,1.617,NULL
85,2018,2393428,9,367.631,NULL
85,2018,2393429,9,541.052,NULL
85,2018,2393472,9,105.108,NULL
85,2018,2393526,9,7.901,NULL
85,2018,2393601,9,5.905,NULL
85,2018,2393607,9,53.074,NULL
85,2018,2393628,9,18.498,NULL
85,2018,2393634,9,1.305,NULL
85,2018,2393644,9,611.132,NULL
85,2018,2393683,9,145.569,NULL
85,2018,2393797,9,68.555,NULL
85,2018,2393799,9,219.349,NULL
85,2018,2393428,10,135.161,NULL
85,2018,2393429,10,754.878,NULL
85,2018,2393472,10,24.966,NULL
85,2018,2393607,10,53.518,NULL
85,2018,2393628,10,234.52,NULL
85,2018,2393644,10,606.016,NULL
85,2018,2393683,10,60.549,NULL
85,2018,2393784,10,0.844,NULL
85,2018,2393797,10,799.545,NULL
85,2018,2393799,10,370.012,NULL
85,2018,665887,11,20.001,NULL
85,2018,665929,11,0.765,NULL
85,2018,665981,11,10.862,NULL
85,2018,2393428,11,224.874,NULL
85,2018,2393429,11,1072.432,NULL
85,2018,2393472,11,274.347,NULL
85,2018,2393526,11,2.837,NULL
85,2018,2393579,11,5.828,NULL
85,2018,2393601,11,48.703,NULL
85,2018,2393607,11,415.615,NULL
85,2018,2393628,11,278.729,NULL
85,2018,2393634,11,8.373,NULL
85,2018,2393644,11,171.792,NULL
85,2018,2393683,11,139.314,NULL
85,2018,2393762,11,110.276,NULL
85,2018,2393784,11,62.418,NULL
85,2018,2393797,11,68.025,NULL
85,2018,2393799,11,420.569,NULL
15,2015,665929,1,221,NULL
15,2016,665929,1,241,NULL
15,2017,665929,1,258,20
15,2015,665929,2,32,NULL
15,2016,665929,2,38,NULL
15,2015,2393579,2,49,NULL
15,2016,2393579,2,51,NULL
15,2017,2393579,2,55,NULL
15,2017,665929,2,55,NULL
15,2015,2393579,1,88,NULL
15,2016,2393579,1,89,NULL
15,2017,2393579,1,95,NULL
64,2016,666069,5,1011,63
64,2015,666069,5,1033,62
64,2017,666069,5,1051,63
64,2017,665931,5,1246,70
64,2016,665931,5,1258,69
64,2015,665931,5,1266,69
15,2015,665860,2,1951,NULL
15,2016,665860,2,2211,NULL
15,2017,665860,2,2520,NULL
130,2015,2393634,6,3676,147
130,2017,2393634,6,3776,169
130,2016,2393634,6,3809,167
15,2016,665860,1,6586,483
15,2017,665860,1,6730,485
15,2015,665860,1,6740,480
130,2015,2393634,1,26008,1813
130,2017,2393634,1,26107,1924
130,2016,2393634,1,26180,1862
15,2017,2393472,1,140485,19088
15,2015,2393472,1,144697,19084
15,2016,2393472,1,146925,19085
15,2017,2393472,2,220522,NULL
15,2016,2393472,2,230337,NULL
15,2015,2393472,2,231129,NULL
85,2015,665712,8,656.472,44
85,2015,665712,1,11428.227,878
85,2015,665712,5,12084.699,922
85,2015,665860,8,NULL,NULL
85,2015,665860,1,386.256,32
85,2015,665860,5,386.256,32
85,2015,665887,11,57.884,NULL
85,2015,665887,8,379.195,50
85,2015,665887,1,5137.148,351
85,2015,665887,5,5574.227,401
85,2015,665929,9,0.874,NULL
85,2015,665929,11,2.171,NULL
85,2015,665929,8,861.812,36
85,2015,665929,1,1116.23,102
85,2015,665929,5,1981.087,138
85,2015,665931,9,11.641,NULL
85,2015,665931,8,843.239,60
85,2015,665931,1,5982.604,421
85,2015,665931,5,6837.484,481
85,2015,665966,9,0.201,NULL
85,2015,665966,8,3700.79,80
85,2015,665966,1,18614.186,1352
85,2015,665966,5,22315.177,1432
85,2015,665981,8,1579.435,107
85,2015,665981,1,23235.428,2493
85,2015,665981,5,24814.863,2600
85,2015,666069,8,174.458,31
85,2015,666069,9,1.443,NULL
85,2015,666069,1,3415.343,207
85,2015,666069,5,3591.244,238
85,2015,2393428,10,135.161,NULL
85,2015,2393428,11,573.754,NULL
85,2015,2393428,9,764.477,NULL
85,2015,2393428,1,77529.014,11241
85,2015,2393428,7,146818.99,1039
85,2015,2393428,5,225821.396,12280
85,2015,2393429,10,791.571,NULL
85,2015,2393429,9,856.121,NULL
85,2015,2393429,11,1636.987,NULL
85,2015,2393429,2,166474.313,2158
85,2015,2393429,1,217900.066,28673
85,2015,2393429,3,229986.381,404
85,2015,2393429,5,617645.439,31235
85,2015,2393472,11,278.084,NULL
85,2015,2393472,10,22.148,NULL
85,2015,2393472,9,147.142,NULL
85,2015,2393472,1,38833.172,5682
85,2015,2393472,2,41869.165,919
85,2015,2393472,3,65562.499,332
85,2015,2393472,5,146712.21,6933
85,2015,2393526,8,NULL,NULL
85,2015,2393526,11,6.923,NULL
85,2015,2393526,9,8.079,NULL
85,2015,2393526,1,1020.119,123
85,2015,2393526,5,1035.121,123
85,2015,2393579,8,NULL,NULL
