Abc Sort,Community Designation,Ctu Code,Ctu Id,Ctu Name,Ctu Type,Five Color,Year,$ Compost Emis T CO2e,$ Electricity Emis T CO2e,$ Electricity R MWh,$ Landfill Emis T CO2e,$ NG R Emis T CO2e,$ NG R Therms,$ Other Fuels Emis T CO2e,$ Passenger Veh Emis T CO2e,$ Transit Emis T CO2e,$ Trucks Emis T CO2e,Actual R E Emis T Co2E,Actual R E Mwh,Actual R Ng Emis T Co2E,Actual R Ng Therms,Composting Scope1 Co2E Tonnes,Composting Scope3 Co2E Tonnes,Est R E Emis T Co2E,Est R E Mwh,Est R Ng Emis T Co2E,Est R Ng Therms,Kerodfo Emis Tonnes Co2E,Kerodfo Res Use Mmbtu,Landfill Scope1 Co2E Tonnes,Landfill Scope3 Co2E Tonnes,Metrotransit Tonnes Co2E,Population,Prop Emis Tonnes Co2E,Prop Res Use Mmbtu,show,Total Co2 W Equiv Heavy,Total Co2 W Equiv Medium,Total Co2 W Equiv Personal,Wastwater Tonnes Co2E
96,Rural Centers,17486,2394596,East Bethel,C,3,2017,0.028602335,1.933296380,3.411949882,0.019959517,1.431507523,269.274239357,0.065032510,3.008159834,,0.191050559,,,,,0,345.344592303,23342.620498052,41195.88288,17284.021833635,3251217.166,0,0,0,240.991204229,,12074,785.2025283,12723.28925,12074,956.3076887,1350.436763,36320.52184,
98,Suburban,18116,2394614,Eden Prairie,C,1,2017,0.018913850,1.047936432,2.849454526,0.039986974,1.917788034,360.746210338,0.028417605,3.543985187,0.001927236,0.468172328,,,122212.960234948,22988913,0,1205.304035880,66780.797044331,181584.3391,92051.605498461,17315400.48,45.97178392,614.3184486,0,2548.209910723,122.815052295,63726,1764.968515,28599.25195,63726,24022.381794,5812.367999,225844,6115.308861375
100,Urban,18188,2394621,Edina,C,2,2017,0.025490656,1.421579782,3.865431929,0.079799953,2.092677547,393.643865364,0.065161473,3.327771111,0.042110424,0.296185321,74628.673808848,202923.58,109859.293183473,20665122,0,1338.182987887,55042.992638909,149667.9567,76255.308228121,14344032.28,842.8160385,11262.50489,0,4189.258113525,2210.670941309,52497,2577.965823,41772.92312,52497,9918.443988,5630.396834,174698,8254.609929790
102,Rural Centers,18662,2394658,Elko New Market,C,5,2017,0.031614270,1.648420404,3.578314383,0.106736379,1.347993170,253.564741881,0.048674789,3.431026568,,0.111054598,,,,,0,148.934823815,7765.708523671,16857.43906,6350.395825249,1194543.499,0,0,0,502.835081241,,4711,229.3069331,3715.650844,4711,136.9761725,386.2020388,16163.566161,360.284532145
108,Suburban,20078,2394717,Excelsior,C,3,2017,0.033513141,1.272564739,3.460243622,0.399599358,1.583644428,297.892006803,0.041361279,5.451505054,0,0.341283009,2993.072265887,8138.493,3724.731695010,700642,0,78.822908339,2502.647717201,6804.974661,2751.972515484,517660.7834,0,0,0,939.857689421,0,2352,97.28172917,1576.336722,2352,432.9714242,369.7262125,12821.939886,285.138409300
110,Urban,20420,2394738,Falcon Heights,C,4,2017,0.054097082,0.938826888,2.325889441,0.008587999,1.314658619,247.294334069,0.077974686,5.234684986,0.158150362,0.161412526,5103.462963970,12643.535,7146.484252655,1344292,0,294.071737966,6226.802742723,15426.54448,6389.071884041,1201818.673,0,0,0,46.684361133,859.705366064,5436,423.8703914,6868.324287,5436,541.8345832,335.6039092,28455.747585,767.837799559
112,Emerging Suburban Edge,20618,2394747,Farmington,C,5,2017,0.069566207,1.586359146,3.353750859,0.093860430,1.467074332,275.964546853,0.017975305,2.523957647,,0.284103390,35567.758422945,75194.448,,,0,1559.743924185,34965.655581088,73921.53138,32893.273605544,6187401.105,0,0,0,2104.444711242,,22421,403.0243066,6530.537847,22421,4577.901863,1791.980235,56589.654408,1986.068483358
114,Emerging Suburban Edge,21770,2394789,Forest Lake,C,4,2017,0.033324956,1.277735972,3.186218041,0.001913399,1.661679723,312.570864029,0.153401015,4.792430507,0,0.626703653,,,34059.449273641,6406765,0,683.061626763,26189.754228222,65307.91119,29479.726895898,5545294.669,858.1399664,11467.27771,0,39.218943046,0,20497,2286.120636,37043.91296,20497,9174.678657,3670.866117,98230.448104,2029.540832639
120,Urban,22814,2394826,Fridley,C,4,2017,0.028866567,1.014125388,2.757518575,0.075496763,1.548406022,291.263473681,0.047920857,4.057871420,0.034273570,2.040750218,29071.932495103,79049.785,44388.155430652,8349650,0,827.517875845,28051.703818223,76275.67091,36843.935570596,6930541.8,574.6472989,7678.980607,0,2164.265700743,982.520418359,28667,799.0999182,12948.48021,28667,53005.746798,5496.439695,116327,6561.458726475
122,Suburban,23318,2394871,Gem Lake,C,4,2017,0.054092082,2.373974653,6.455098434,0.001626247,2.991136280,562.648769575,0,5.991639826,,0.677322604,1061.166669934,2885.429,1337.037916970,251504,0,24.179160742,820.521496254,2231.08828,684.478013477,128753.9838,0,0,0,0.726932357,,447,0,0,447,203.7695027,98.9937013,2678.263002,37.777768622
