ctu_name,ctu_id,year,utility_id,customer_class_name,customer_class_id,number_of_customers,mwh_per_year
Lakeville,2395614,2015,85,Business,7,714,152063705
Lakeville,2395614,2015,85,Residential,1,4158,40076158.07
Lakeville,2395614,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,144650
Lakeville,2395614,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,707969
Lakeville,2395614,2015,85,Total,5,4872,192992482.1
Lauderdale,2395642,2015,85,Business *,8,76,4514051.02
Lauderdale,2395642,2015,85,Residential,1,1210,5611539
Lauderdale,2395642,2015,85,Street Lighting - Metered,9,,38027
Lauderdale,2395642,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,1972
Lauderdale,2395642,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,28833
Lauderdale,2395642,2015,85,Total,5,1286,10194422.02
Lexington,2395696,2015,85,Business *,8,97,3563635
Lexington,2395696,2015,85,Residential,1,579,4417038
Lexington,2395696,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,9860
Lexington,2395696,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,29320
Lexington,2395696,2015,85,Total,5,676,8019853
Mahtomedi,2395818,2015,85,Business *,8,210,14412753
Mahtomedi,2395818,2015,85,Residential,1,2961,27537949
Mahtomedi,2395818,2015,85,Street Lighting - Metered,9,,34777
Mahtomedi,2395818,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,34069
Mahtomedi,2395818,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,167198
Mahtomedi,2395818,2015,85,Total,5,3171,42186746
Maple Grove,2395838,2015,85,Business,7,1332,216000619.1
Maple Grove,2395838,2015,85,Residential,1,14609,129022119.7
Maple Grove,2395838,2015,85,Street Lighting - Metered,9,,164103
Maple Grove,2395838,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,603957
Maple Grove,2395838,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,785843
Maple Grove,2395838,2015,85,Total,5,15941,346576641.9
Maplewood,2395846,2015,85,Business *,8,1683,192212795
Maplewood,2395846,2015,85,Residential,1,15291,113474686
Maplewood,2395846,2015,85,Street Lighting - Metered,9,,299317
Maplewood,2395846,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,250283
Maplewood,2395846,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,563150
Maplewood,2395846,2015,85,Total,5,16974,306800231
Marine On St Croix,2395007,2015,85,Business *,8,64,758219
Marine On St Croix,2395007,2015,85,Residential,1,339,3411432
Marine On St Croix,2395007,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,32798
Marine On St Croix,2395007,2015,85,Total,5,403,4202449
Minneapolis,2395345,2015,85,Business,7,17697,3045872887
Minneapolis,2395345,2015,85,Residential,1,172928,951024412.4
Minneapolis,2395345,2015,85,Street Lighting - Metered,9,,15170572
Minneapolis,2395345,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,2411719
Minneapolis,2395345,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,12013142
Minneapolis,2395345,2015,85,Total,5,190625,4026492732
Minnetonka,2395350,2015,85,Commercial,2,1955,172461328.9
Minnetonka,2395350,2015,85,Industrial,3,382,246057059
Minnetonka,2395350,2015,85,Residential,1,23540,199565684.1
Minnetonka,2395350,2015,85,Street Lighting - Metered,9,,625845
Minnetonka,2395350,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,560332
Minnetonka,2395350,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,866977
Minnetonka,2395350,2015,85,Total,5,25877,620137226.1
New Brighton,2395187,2015,85,Business,7,1006,122663702
New Brighton,2395187,2015,85,Residential,1,9736,64784295.04
New Brighton,2395187,2015,85,Street Lighting - Metered,9,,268878
New Brighton,2395187,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,161382
New Brighton,2395187,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,324768
New Brighton,2395187,2015,85,Total,5,10742,188203025.1
New Hope,2395201,2015,85,Business,7,966,134061093
New Hope,2395201,2015,85,Residential,1,8975,54765106.1
New Hope,2395201,2015,85,Street Lighting - Metered,9,,364405
New Hope,2395201,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,94756
New Hope,2395201,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,323984
New Hope,2395201,2015,85,Total,5,9941,189609344.1
Newport,2395227,2015,85,Business *,8,303,14328984
Newport,2395227,2015,85,Residential,1,1452,11267128.97
Newport,2395227,2015,85,Street Lighting - Metered,9,,235973
Newport,2395227,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,125165
Newport,2395227,2015,85,Total,5,1755,25957250.97
North Saint Paul,2395261,2015,85,Total,5,,
Northfield,2395265,2015,85,Business *,8,753,122997925.9
Northfield,2395265,2015,85,Residential,1,6428,48019472.03
Northfield,2395265,2015,85,Street Lighting - Metered,9,,26981
Northfield,2395265,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,251381
Northfield,2395265,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,528638
Northfield,2395265,2015,85,Total,5,7181,171824398
Oak Park Heights,2395285,2015,85,Business,7,391,56746274
Oak Park Heights,2395285,2015,85,Residential,1,1812,13378696.01
Oak Park Heights,2395285,2015,85,Street Lighting - Metered,9,,17722
Oak Park Heights,2395285,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,7886
Oak Park Heights,2395285,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,135351
Oak Park Heights,2395285,2015,85,Total,5,2203,70285929.01
Oakdale,2395287,2015,85,Business,7,1076,118053569
Oakdale,2395287,2015,85,Residential,1,10794,77600094.01
Oakdale,2395287,2015,85,Street Lighting - Metered,9,,281075
Oakdale,2395287,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,1056972
Oakdale,2395287,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,290756
Oakdale,2395287,2015,85,Total,5,11870,197282466
Orono,2396081,2015,85,Business,7,392,18750455
Orono,2396081,2015,85,Residential,1,3123,50138881.01
Orono,2396081,2015,85,Street Lighting - Metered,9,,39641
Orono,2396081,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,67745
Orono,2396081,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,81040
Orono,2396081,2015,85,Total,5,3515,69077762.01
Plymouth,2396242,2015,85,Commercial,2,2316,153640459.8
Plymouth,2396242,2015,85,Industrial,3,733,342840542
Plymouth,2396242,2015,85,Residential,1,26149,211583544.1
Plymouth,2396242,2015,85,Street Lighting - Metered,9,,217430
Plymouth,2396242,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,254513
Plymouth,2396242,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,1321250
Plymouth,2396242,2015,85,Total,5,29198,709857738.8
Richfield,2396362,2015,85,Commercial,2,1057,46906617
Richfield,2396362,2015,85,Industrial,3,135,88360844
Richfield,2396362,2015,85,Residential,1,15566,95665979.01
Richfield,2396362,2015,85,Street Lighting - Metered,9,,773037
Richfield,2396362,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,1334014
Richfield,2396362,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,283306
Richfield,2396362,2015,85,Total,5,16758,233323797
Robbinsdale,2396388,2015,85,Business *,8,454,26111713.87
Robbinsdale,2396388,2015,85,Residential,1,6235,41935306.86
Robbinsdale,2396388,2015,85,Street Lighting - Metered,9,,145973
Robbinsdale,2396388,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,245136
